"type","year","subject","content","option_a","option_b","option_c","option_d","answer","explanation","tags"
"essay","107-1","諮商的心理學基礎","一、請說明 E. Deci與R. Ryan所提出之自我決定論(self-determination theory)的基本主張，並說明此理論所提出之三種基本需求(basic needs)的內涵；又，自我決定論與 A. Maslow所強調的自我實現觀點，有什麼相似之處？(20分)","","","","","","【擬答重點】\n一、自我決定論（SDT）基本主張：\n1. 人類具有積極的成長傾向，不僅是對環境刺激反應，而是主動尋求成長與整合。\n2. 動機區分為「內在動機」與「外在動機」，強調自主性調節的重要性。\n\n二、三種基本心理需求：\n1. 自主需求（Autonomy）：個體感到行為是出於自我意志與選擇，而非被強迫。\n2. 勝任需求（Competence）：個體感到自己能有效地與環境互動，展現能力。\n3. 關聯需求（Relatedness）：個體感到與他人建立親密、被愛與歸屬的連結。\n\n三、與 Maslow 自我實現觀點的相似處：\n1. 成長導向：兩者皆認為人類具有天生的成長與實現潛能的傾向（人本主義觀點）。\n2. 需求滿足：皆強調基本需求的滿足是心理健康與成長的基礎。\n3. 高層次動機：SDT 的內在動機與 Maslow 的成長需求（B-needs）皆指向自我完善與真實自我的表達。","自我決定論, Self-Determination Theory, Deci, Ryan, 基本需求, 自主, 勝任, 關聯, Maslow, 自我實現"
"essay","107-1","諮商的心理學基礎","二、請根據社會心理學的研究發現，說明有那些情境因素會影響個體的利社會行為表現（如：對於需要幫助的人伸出援手），並分別解釋這些情境因素產生影響的可能原因。(15分)","","","","","","【擬答重點】\n一、影響利社會行為的情境因素：\n\n1. 旁觀者效應（Bystander Effect）：\n   - 原因：責任分散（Diffusion of Responsibility），認為其他人會幫忙；觀眾抑制（Audience Inhibition），怕在他人面前出糗；多元無知（Pluralistic Ignorance），看別人沒動作以為沒事。\n\n2. 時間壓力（Time Pressure）：\n   - 原因：如 Darley & Batson 的好撒瑪利亞人實驗，匆忙時會縮窄注意力，導致忽略周遭需求或認為代價過高。\n\n3. 環境因素（如天氣、噪音）：\n   - 原因：好天氣或正向情緒會增加助人意願（Feel-good, do-good）；反之，惡劣環境或過度刺激會減少助人行為。\n\n4. 榜樣示範（Modeling）：\n   - 原因：看到他人助人會設立社會規範，提升助人意願。\n\n5. 受助者的特徵（相似性）：\n   - 原因：人們傾向幫助與自己相似（內團體）或有吸引力的人（演化心理學或社會認同）。","社會心理學, 利社會行為, 助人行為, 旁觀者效應, 責任分散, 情境因素"
"essay","107-1","諮商的心理學基礎","三、請說明父母離婚通常會如何造成家庭生活的改變，而影響孩子的發展？此外，有那些相關的個人因素可能會影響孩子對父母離婚的適應情況。(15分)","","","","","","【擬答重點】\n一、父母離婚對家庭生活與孩子發展的影響：\n1. 經濟壓力：單親家庭常面臨收入減少，影響生活品質與教育資源。\n2. 親職功能改變：照顧者可能因情緒壓力導致管教方式不一致、減少監督或情感忽視。\n3. 衝突持續：若離婚後父母仍持續衝突，孩子易產生忠誠衝突、焦慮與行為問題。\n4. 生活變動：搬家、轉學導致同儕與社會支持系統中斷。\n\n二、影響適應的個人因素：\n1. 年齡與發展階段：幼兒可能歸咎自己；青少年可能表現出憤怒或逃家。\n2. 性別：部分研究指出男孩可能出現較多外顯行為問題，女孩則可能有內隱情緒問題（如憂鬱）。\n3. 氣質與性格：適應力強、情緒穩定的孩子較能因應壓力。\n4. 對離婚的認知與歸因：孩子如何解讀離婚原因（是否自責）影響其心理適應。","父母離婚, 家庭變故, 兒童發展, 適應, 親職教育, 單親家庭"
"choice","107-1","諮商的心理學基礎","關於人類發展歷程之主動性或被動性的爭議，下列何項敘述最支持主動性的觀點？","亞洲中學生在數學學科的表現比美國學生優秀，是因上課時間和家庭作業較多","父母對子女課業表現的信念和歸因方式，影響其上大學選科系的抉擇","老年性活動減退，和一般人認為老人沒有性需求及不適宜表達性興趣的刻板印象有關","嬰兒透過爬行，從自我產生的探索行為中，逐漸了解深度知覺和危險的意義","嬰兒透過爬行，從自我產生的探索行為中，逐漸了解深度知覺和危險的意義","主動性觀點強調個體是發展的積極參與者，透過自身的探索與行動建構知識（如皮亞傑觀點），而非僅是被動接受環境影響。","人類發展, 主動性, 探索行為, 深度知覺"
"choice","107-1","諮商的心理學基礎","下列何者最強調關鍵期(critical period)或敏感期(sensitive period)的概念？","動物行為觀點(ethological perspective)","生態系統觀點(ecological system perspective)","精神分析觀點(psychoanalytical perspective)","發展階段觀點(developmental stage perspective)","動物行為觀點(ethological perspective)","動物行為學（Ethology，如 Lorenz 的銘印現象）最先提出關鍵期的概念，強調生物機制與特定時間點的環境經驗結合對發展的重要性。","關鍵期, 敏感期, 動物行為學, Ethology"
"choice","107-1","諮商的心理學基礎","評量智力時，動態評量(dynamic assessment)取向和傳統靜態取向的差異為何？","動態評量的焦點是智力的產物，而靜態取向不是","動態評量的焦點是學習的過程，而靜態取向不是","靜態取向在每一項作業結束後都得到回饋，而動態評量不是","靜態取向是以協助每位兒童發展個人特色為基礎，而動態評量不是","動態評量的焦點是學習的過程，而靜態取向不是","動態評量基於 Vygotsky 的近側發展區（ZPD）概念，強調在測驗過程中提供鷹架，評估個體的「學習潛能」與過程，而非僅測量已有的知識產物（靜態）。","動態評量, 靜態評量, 智力測驗, Vygotsky, ZPD"
"choice","107-1","諮商的心理學基礎","下列那一個是幼兒推論新字意義的策略？","語法線索(syntactical bootstrapping)","語意線索(semantic bootstrapping)","過度規則化(overregularization)","過度延伸(overextension)","語法線索(syntactical bootstrapping)","Syntactical bootstrapping 指幼兒利用字詞在句子中的語法位置（如動詞、名詞）來推論其意義的策略。","語言發展, 語法線索, Syntactical Bootstrapping"
"choice","107-1","諮商的心理學基礎","有關以習慣化(habituation)方法探討嬰兒記憶的研究發現，下列何者正確？","習慣化與再測之間的間隔愈短時，因短期記憶仍保留訊息的痕跡，嬰兒較偏好注視熟悉的刺激","習慣化與再測之間的間隔愈長時，因訊息以意旨(gist)轉存為長期記憶，嬰兒較偏好注視熟悉的刺激","不管習慣化與再測之間的間隔長短，因訊息在短期記憶只能保留相當短的時間，嬰兒皆偏好注視新奇的刺激","不管習慣化與再測之間的間隔長短，因訊息已在習慣化階段轉存為長期記憶，嬰兒皆偏好注視熟悉的刺激","習慣化與再測之間的間隔愈長時，因訊息以意旨(gist)轉存為長期記憶，嬰兒較偏好注視熟悉的刺激","研究顯示，當延宕時間較長，嬰兒傾向依賴模糊的意旨記憶（gist），此時對熟悉的刺激會表現出偏好（因為需要提取記憶）；短時間則偏好新奇刺激。","嬰兒記憶, 習慣化, Gist, 長期記憶"
"choice","107-1","諮商的心理學基礎","知識基礎(knowledge base)與記憶發展之間的關係，下列何者正確？","良好的一般知識表示心智訊息組織較佳，但是與訊息處理效率無關","雖然擁有特定領域的豐富知識基礎，但不一定對其他主題的記憶策略使用有直接的幫助","雖然有良好的特定知識基礎表示擁有較佳處理該領域訊息的能力，但不能夠彌補低智能性向的侷限","隨年齡的增長，較年長的兒童會越來越顯得無法掌握逐漸增加的不同領域的知識內容","雖然擁有特定領域的豐富知識基礎，但不一定對其他主題的記憶策略使用有直接的幫助","Chi 的研究顯示，領域特定的知識（如西洋棋）能顯著提升該領域的記憶表現，但這種優勢不一定能遷移到其他不熟悉的領域。","知識基礎, 記憶發展, 領域特定性"
"choice","107-1","諮商的心理學基礎","如果小美的認知發展處於具體運思期(concrete-operational stage)，那麼小美的年齡最可能是幾歲？","六個月","三歲","八歲","十四歲","八歲","皮亞傑認知發展論：具體運思期約為 7-11 歲。A 是感覺動作期，B 是前運思期，D 是形式運思期。","皮亞傑, 認知發展, 具體運思期, 年齡"
